,FUND NAME,EXPERIENCE,SRC_UID
0,Actophilornis africanus,4081.4105414518576,272675524722
2,Alcelaphus buselaphus cokii,1996.9964103586763,181701414249
3,Alligator mississippiensis,1424.4531624722658,206670813
4,Alouatta seniculus,711.1510541593682,40234001221
5,Amphibolurus barbatus,1300.2021083216484,1489764652
6,Anthropoides paradisea,3384.2552708211765,880923451687
7,Ardea cinerea,2842.147464598055,206670715
8,Axis axis,1762.9276354330796,206670739
9,Bassariscus astutus,355.42552708734263,1134069654772
10,Boa constrictor mexicana,652.7765812635128,198188413318323
12,Bucephala clangula,1643.4609687785937,737766433094
13,Bugeranus caruncalatus,1962.586495875633,206670690
14,Butorides striatus,1769.9453563103834,28283084613
15,Cabassous sp.,1966.9864958945805,206670692
16,Cacatua tenuirostris,1416.9531625700333,206670705
18,Canis aureus,1874.927635482901,206670716
20,Canis mesomelas,1111.5687750631675,105401395916
22,Centrocercus urophasianus,1943.3120230383595,324918516
23,Ceratotherium simum,294.6921937683541,192290937586348
24,Cereopsis novaehollandiae,908.4765813065112,206670721
25,Charadrius tricollaris,516.0099146420258,189669305873243
28,Chloephaga melanoptera,960.9943021908391,573917296406
29,Choloepus hoffmani,2997.9141315079482,186267307833917
30,Choriotis kori,1483.7786897627275,27160283895
31,Columba palumbus,1300.2021084412909,1489765858
32,Cordylus giganteus,1127.2432480004572,108203096943
36,Crotaphytus collaris,2532.8297440277993,323418458
41,Dasyurus viverrinus,113.90210847676195,206670754
42,Dendrocitta vagabunda,1458.5354418139686,206670760
43,Deroptyus accipitrinus,637.4510542417677,1676124906944
44,Dicrostonyx groenlandicus,1873.755271223375,197463014939188
46,Echimys chrysurus,257.20991470874844,537115818972
47,Eolophus roseicapillus,1838.7943022971979,55902523917
48,Ephippiorhynchus mycteria,1507.1687751754455,52079200642
52,Eudyptula minor,674.6177209278892,1461078666
53,Eumetopias jubatus,735.5177209288711,1540205459539
55,Falco peregrinus,835.143248062468,181989439245
56,Felis wiedi or Leopardus weidi,2423.388604668554,206670694
57,Geococcyx californianus,936.6276356768005,207934051132
58,Gerbillus sp.,1493.9786899577953,186711785308213
60,Halcyon smyrnesis,3067.1396590059912,200109499869465
61,Himantopus himantopus,3289.329744277541,206670686
62,Hystrix cristata,370.25105428656633,192291882972375
63,Hystrix indica,1326.4864961988676,189395860675734
64,Isoodon obesulus,3002.2807986095813,189669356346606
65,Lamprotornis nitens,793.5354419259418,656760542396
66,Laniaurius atrococcineus,2754.055271498452,40234253942
68,Lepus townsendii,2415.378690066717,188703120510450
69,Lorythaixoides concolor,1797.5786900786475,206670771
70,Lutra canadensis,1806.9453567571795,168720101925
71,Lycosa godeffroyi,787.1864962775035,880886802006
72,Macaca fuscata,2392.970883939791,188803777670426
73,Macaca mulatta,1667.427635803826,108207596093
76,Megaderma spasma,796.6864963234478,206670742
79,Melursus ursinus,1253.2276358402435,186761292782742
81,Milvus migrans,4456.626155746155,275505523
84,Mustela nigripes,2371.1886050853777,1451747082532
86,Nucifraga columbiana,2052.2375507621773,40232932742
87,Orcinus orca,883.7432482064772,108202450315
88,Oreamnos americanus,1680.1276359045198,188703116701652
89,Ourebia ourebi,1831.9042174598414,206670693
90,Ovis canadensis,1983.4552718466443,206670723
91,Panthera pardus,1331.0276359324016,656756747842
92,Papilio canadensis,3678.2474657393036,206670727
93,Papio ursinus,847.1765815703693,409790534092
95,Pelecanus occidentalis,2504.6630780662135,206670734
96,Petaurus breviceps,1348.9354421097878,186494805556422
97,Phaethon aethereus,1898.7531631719976,455157311
101,Physignathus cocincinus,2230.35316320126,206670711
102,Plegadis falcinellus,1217.3943026744573,181703187068
103,Podargus strigoides,3461.8063264437737,206670764
104,Psophia viridis,1763.345357108498,206670770
105,Rangifer tarandus,1843.045357121268,36740368922
107,Rhea americana,1289.894302715462,189669225079108
109,Sarkidornis melanotos,2796.3474660087895,108219608754
110,Spermophilus lateralis,1680.1276360743186,188703129863464
111,Spilogale gracilis,1637.7708843981623,186759829869822
114,Suricata suricatta,804.502108878441,880880278933
118,Tamandua tetradactyla,2364.1964116838453,301519260
120,Terathopius ecaudatus,856.9510544524132,210435370127300
124,Trachyphonus vaillantii,689.3099150181887,898428021820
125,Tragelaphus strepsiceros,294.6921938954344,400089571
128,Tyto novaehollandiae,1939.9453572783366,638750702637
129,Upupa epops,419.10991502772566,203221423898215
131,Ursus arctos,822.9432483676458,189654246454691
133,Vanellus sp.,613.6510544710238,194309785360951
134,Varanus komodensis,1251.3687756116851,880930580959
137,unavailable,1035.8943028607855,206670773
